id,family,color,design,slot,source_cells,glb,bytes
sneaker-ivory-panel,sneaker,ivory,panel,shoes,A/sneakers/07;B/sneakers/08,glb/sneaker-ivory-panel.glb,763596
sneaker-black-mono,sneaker,black,mono,shoes,A/sneakers/08,glb/sneaker-black-mono.glb,767428
sweatshirt-ivory-calm,sweatshirt,ivory,calm,top,A/sweatshirts/01,glb/sweatshirt-ivory-calm.glb,633340
sweatshirt-navy-better-days,sweatshirt,navy,better-days,top,A/sweatshirts/02,glb/sweatshirt-navy-better-days.glb,1016064
sweatshirt-green-mountain,sweatshirt,green,mountain,top,A/sweatshirts/03,glb/sweatshirt-green-mountain.glb,556792
sweatshirt-pink-heart,sweatshirt,pink,heart,top,A/sweatshirts/04,glb/sweatshirt-pink-heart.glb,578160
sweatshirt-sky-double-stripe,sweatshirt,sky,double-stripe,top,A/sweatshirts/05,glb/sweatshirt-sky-double-stripe.glb,415472
sweatshirt-charcoal-study,sweatshirt,charcoal,study,top,A/sweatshirts/06,glb/sweatshirt-charcoal-study.glb,668948
varsity-red-a,varsity,red,a,outerwear,A/jackets/01;B/jackets/01,glb/varsity-red-a.glb,893700
puffer-black-label,puffer,black,label,outerwear,A/jackets/02;B/jackets/02,glb/puffer-black-label.glb,840076
varsity-green-s,varsity,green,s,outerwear,A/jackets/03,glb/varsity-green-s.glb,881904
denimjacket-denim-hood,denimjacket,denim,hood,outerwear,A/jackets/04,glb/denimjacket-denim-hood.glb,832532
shearling-tan-plain,shearling,tan,plain,outerwear,A/jackets/05,glb/shearling-tan-plain.glb,1047636
utility-black-purple,utility,black,purple,outerwear,A/jackets/06,glb/utility-black-purple.glb,827812
cap-yellow-smile,cap,yellow,smile,headwear,A/hats/01,glb/cap-yellow-smile.glb,437332
cap-black-cross,cap,black,cross,headwear,A/hats/02,glb/cap-black-cross.glb,294244
cap-ivory-good-days,cap,ivory,good-days,headwear,A/hats/03,glb/cap-ivory-good-days.glb,672840
beanie-blue-cat,beanie,blue,cat,headwear,A/hats/04,glb/beanie-blue-cat.glb,1048752
beanie-red-label,beanie,red,label,headwear,A/hats/05;B/hats/05,glb/beanie-red-label.glb,873584
bucket-green-flower,bucket,green,flower,headwear,A/hats/06,glb/bucket-green-flower.glb,235932
glasses-black-rect,glasses,black,rect,face_accessory,A/glasses/01;B/glasses/01,glb/glasses-black-rect.glb,33408
glasses-gold-round,glasses,gold,round,face_accessory,A/glasses/02;B/glasses/02,glb/glasses-gold-round.glb,67012
glasses-black-sun,glasses,black,sun,face_accessory,A/glasses/03;B/glasses/03,glb/glasses-black-sun.glb,76008
glasses-white-rect,glasses,white,rect,face_accessory,A/glasses/04,glb/glasses-white-rect.glb,33404
glasses-gray-smoke,glasses,gray,smoke,face_accessory,A/glasses/05,glb/glasses-gray-smoke.glb,42400
glasses-pink-rect,glasses,pink,rect,face_accessory,A/glasses/06,glb/glasses-pink-rect.glb,33400
headphones-black-plain,headphones,black,plain,neck,A/headphones/01;B/accessories/01,glb/headphones-black-plain.glb,36392
headphones-white-plain,headphones,white,plain,neck,A/headphones/02,glb/headphones-white-plain.glb,36300
headphones-pink-plain,headphones,pink,plain,neck,A/headphones/03,glb/headphones-pink-plain.glb,36356
headphones-blue-cat,headphones,blue,cat,neck,A/headphones/04,glb/headphones-blue-cat.glb,220288
backpack-black-heart,backpack,black,heart,back,A/backpacks/01,glb/backpack-black-heart.glb,693908
backpack-red-plain,backpack,red,plain,back,A/backpacks/02,glb/backpack-red-plain.glb,511600
backpack-green-smile,backpack,green,smile,back,A/backpacks/03,glb/backpack-green-smile.glb,786008
backpack-ivory-plain,backpack,ivory,plain,back,A/backpacks/04;B/backpacks/02,glb/backpack-ivory-plain.glb,511564
watch-black-digital,watch,black,digital,wrist,A/accessories/01,glb/watch-black-digital.glb,264656
bracelet-black-bead-gold,bracelet,black,bead-gold,wrist,A/accessories/02,glb/bracelet-black-bead-gold.glb,124900
necklace-silver-smile,necklace,silver,smile,neck,A/accessories/03,glb/necklace-silver-smile.glb,549084
belt-black-square,belt,black,square,waist,A/accessories/04;B/accessories/05,glb/belt-black-square.glb,11416
wristband-ivory-label,wristband,ivory,label,wrist,A/accessories/05,glb/wristband-ivory-label.glb,31960
pin-gold-star,pin,gold,star,charm,A/accessories/06;B/accessories/10,glb/pin-gold-star.glb,184364
carabiner-silver-plain,carabiner,silver,plain,charm,A/accessories/07,glb/carabiner-silver-plain.glb,27728
charm-green-dino,charm,green,dino,charm,A/accessories/08,glb/charm-green-dino.glb,169720
charm-pink-flower,charm,pink,flower,charm,A/accessories/09,glb/charm-pink-flower.glb,170836
books-green-study,books,green,study,prop,A/small-objects/01,glb/books-green-study.glb,136836
laptop-gray-cat,laptop,gray,cat,prop,A/small-objects/02,glb/laptop-gray-cat.glb,466092
frame-ivory-good-days,frame,ivory,good-days,prop,A/small-objects/03,glb/frame-ivory-good-days.glb,527608
mug-ivory-fuel-good,mug,ivory,fuel-good,prop,A/small-objects/04,glb/mug-ivory-fuel-good.glb,550236
bottle-blue-cat,bottle,blue,cat,prop,A/small-objects/05,glb/bottle-blue-cat.glb,202156
phone-black-plain,phone,black,plain,prop,A/small-objects/06,glb/phone-black-plain.glb,14336
camera-black-gold,camera,black,gold,prop,A/small-objects/07,glb/camera-black-gold.glb,52708
pouch-blue-cat,pouch,blue,cat,prop,A/small-objects/08,glb/pouch-blue-cat.glb,274584
plant-tan-leaf,plant,tan,leaf,prop,A/small-objects/09;B/desk-objects/02,glb/plant-tan-leaf.glb,143152
lamp-silver-plain,lamp,silver,plain,prop,A/small-objects/10,glb/lamp-silver-plain.glb,48052
trophy-gold-cup,trophy,gold,cup,prop,A/small-objects/11;B/reward-objects/01,glb/trophy-gold-cup.glb,70224
tee-white-planet,tee,white,planet,top,B/t-shirts/01,glb/tee-white-planet.glb,632756
tee-black-cat,tee,black,cat,top,B/t-shirts/02,glb/tee-black-cat.glb,557852
tee-green-good-study,tee,green,good-study,top,B/t-shirts/03,glb/tee-green-good-study.glb,914652
tee-ivory-mountain,tee,ivory,mountain,top,B/t-shirts/04,glb/tee-ivory-mountain.glb,534220
tee-blue-all-stripe,tee,blue,all-stripe,top,B/t-shirts/05,glb/tee-blue-all-stripe.glb,396004
tee-black-galaxy,tee,black,galaxy,top,B/t-shirts/06,glb/tee-black-galaxy.glb,500460
longsleeve-black-all-stripe,longsleeve,black,all-stripe,top,B/long-sleeves/01,glb/longsleeve-black-all-stripe.glb,423380
longsleeve-ivory-stay-kind,longsleeve,ivory,stay-kind,top,B/long-sleeves/02,glb/longsleeve-ivory-stay-kind.glb,846420
longsleeve-brown-raglan-star,longsleeve,brown,raglan-star,top,B/long-sleeves/03,glb/longsleeve-brown-raglan-star.glb,562512
longsleeve-black-flame,longsleeve,black,flame,top,B/long-sleeves/04,glb/longsleeve-black-flame.glb,587204
longsleeve-green-all-stripe,longsleeve,green,all-stripe,top,B/long-sleeves/05,glb/longsleeve-green-all-stripe.glb,423376
longsleeve-ivory-label,longsleeve,ivory,label,top,B/long-sleeves/06,glb/longsleeve-ivory-label.glb,404996
hoodie-gray-focus,hoodie,gray,focus,top,B/hoodies/01,glb/hoodie-gray-focus.glb,812912
hoodie-blue-cloud,hoodie,blue,cloud,top,B/hoodies/02,glb/hoodie-blue-cloud.glb,655152
hoodie-purple-cloud,hoodie,purple,cloud,top,B/hoodies/03,glb/hoodie-purple-cloud.glb,655200
hoodie-black-orange-butterfly,hoodie,black,orange-butterfly,top,B/hoodies/04,glb/hoodie-black-orange-butterfly.glb,723620
hoodie-green-plain,hoodie,green,plain,top,B/hoodies/05,glb/hoodie-green-plain.glb,523620
hoodie-ivory-better-days,hoodie,ivory,better-days,top,B/hoodies/06,glb/hoodie-ivory-better-days.glb,1143260
sweater-ivory-cable,sweater,ivory,cable,top,B/sweaters/01,glb/sweater-ivory-cable.glb,2632736
sweater-navy-bear,sweater,navy,bear,top,B/sweaters/02,glb/sweater-navy-bear.glb,2391852
sweater-green-stripe,sweater,green,stripe,top,B/sweaters/03,glb/sweater-green-stripe.glb,2660744
sweater-red-cable,sweater,red,cable,top,B/sweaters/04,glb/sweater-red-cable.glb,2632744
sweater-sky-fairisle,sweater,sky,fairisle,top,B/sweaters/05,glb/sweater-sky-fairisle.glb,4804520
sweater-black-smile,sweater,black,smile,top,B/sweaters/06,glb/sweater-black-smile.glb,2446016
trackpants-black-piping,trackpants,black,piping,bottom,B/pants/06,glb/trackpants-black-piping.glb,54648
sportshorts-black-piping,sportshorts,black,piping,bottom,B/shorts/01,glb/sportshorts-black-piping.glb,38908
sportshorts-green-piping,sportshorts,green,piping,bottom,B/shorts/02,glb/sportshorts-green-piping.glb,38904
shorts-tan-cargo,shorts,tan,cargo,bottom,B/shorts/03,glb/shorts-tan-cargo.glb,173188
shorts-denim-cargo,shorts,denim,cargo,bottom,B/shorts/04,glb/shorts-denim-cargo.glb,173208
shorts-olive-cargo,shorts,olive,cargo,bottom,B/shorts/05,glb/shorts-olive-cargo.glb,173212
sneaker-olive-panel,sneaker,olive,panel,shoes,B/sneakers/05,glb/sneaker-olive-panel.glb,765520
sneaker-purple-panel,sneaker,purple,panel,shoes,B/sneakers/06,glb/sneaker-purple-panel.glb,765524
boot-yellow-hiker,boot,yellow,hiker,shoes,B/boots/01,glb/boot-yellow-hiker.glb,913332
boot-black-hiker,boot,black,hiker,shoes,B/boots/02,glb/boot-black-hiker.glb,911480
boot-brown-hiker,boot,brown,hiker,shoes,B/boots/03,glb/boot-brown-hiker.glb,913348
boot-olive-hiker,boot,olive,hiker,shoes,B/boots/04,glb/boot-olive-hiker.glb,913348
boot-ivory-hiker,boot,ivory,hiker,shoes,B/boots/05,glb/boot-ivory-hiker.glb,909556
varsity-green-b,varsity,green,b,outerwear,B/jackets/03,glb/varsity-green-b.glb,901624
denimjacket-denim-shearling,denimjacket,denim,shearling,outerwear,B/jackets/04,glb/denimjacket-denim-shearling.glb,1071448
puffer-ivory-label,puffer,ivory,label,outerwear,B/jackets/05,glb/puffer-ivory-label.glb,840036
utility-black-orange,utility,black,orange,outerwear,B/jackets/06,glb/utility-black-orange.glb,827808
backpack-black-smile,backpack,black,smile,back,B/backpacks/01,glb/backpack-black-smile.glb,785756
backpack-olive-plain,backpack,olive,plain,back,B/backpacks/03,glb/backpack-olive-plain.glb,511604
backpack-purple-plain,backpack,purple,plain,back,B/backpacks/04,glb/backpack-purple-plain.glb,511608
backpack-pink-plain,backpack,pink,plain,back,B/backpacks/05,glb/backpack-pink-plain.glb,511580
backpack-navy-flower,backpack,navy,flower,back,B/backpacks/06,glb/backpack-navy-flower.glb,664844
crossbody-black-cat,crossbody,black,cat,crossbody,B/crossbody-bags/01,glb/crossbody-black-cat.glb,323024
crossbody-ivory-label,crossbody,ivory,label,crossbody,B/crossbody-bags/02,glb/crossbody-ivory-label.glb,146756
crossbody-green-smile,crossbody,green,smile,crossbody,B/crossbody-bags/03,glb/crossbody-green-smile.glb,412636
crossbody-blue-cat,crossbody,blue,cat,crossbody,B/crossbody-bags/04,glb/crossbody-blue-cat.glb,323016
crossbody-pink-label,crossbody,pink,label,crossbody,B/crossbody-bags/05,glb/crossbody-pink-label.glb,147364
crossbody-black-checker,crossbody,black,checker,crossbody,B/crossbody-bags/06,glb/crossbody-black-checker.glb,579416
cap-black-ny,cap,black,ny,headwear,B/hats/01,glb/cap-black-ny.glb,270568
cap-ivory-mountain,cap,ivory,mountain,headwear,B/hats/02,glb/cap-ivory-mountain.glb,324048
cap-blue-label,cap,blue,label,headwear,B/hats/03,glb/cap-blue-label.glb,172572
cap-green-flower,cap,green,flower,headwear,B/hats/04,glb/cap-green-flower.glb,316192
beanie-gray-label,beanie,gray,label,headwear,B/hats/06,glb/beanie-gray-label.glb,873584
bucket-blue-smile,bucket,blue,smile,headwear,B/hats/07,glb/bucket-blue-smile.glb,357084
bucket-ivory-label,bucket,ivory,label,headwear,B/hats/08,glb/bucket-ivory-label.glb,91664
glasses-silver-rect,glasses,silver,rect,face_accessory,B/glasses/04,glb/glasses-silver-rect.glb,32316
glasses-blue-sun,glasses,blue,sun,face_accessory,B/glasses/05,glb/glasses-blue-sun.glb,76000
glasses-pink-round,glasses,pink,round,face_accessory,B/glasses/06,glb/glasses-pink-round.glb,67012
watch-gold-analog,watch,gold,analog,wrist,B/accessories/02,glb/watch-gold-analog.glb,39824
necklace-silver-chain,necklace,silver,chain,neck,B/accessories/03,glb/necklace-silver-chain.glb,274700
necklace-gold-chain,necklace,gold,chain,neck,B/accessories/04,glb/necklace-gold-chain.glb,274692
keyring-silver-plain,keyring,silver,plain,charm,B/accessories/06,glb/keyring-silver-plain.glb,27716
ring-silver-plain,ring,silver,plain,charm,B/accessories/07,glb/ring-silver-plain.glb,22944
bracelet-black-bead-white,bracelet,black,bead-white,wrist,B/accessories/08,glb/bracelet-black-bead-white.glb,124900
charm-yellow-smile,charm,yellow,smile,charm,B/accessories/09,glb/charm-yellow-smile.glb,292000
charm-green-clover,charm,green,clover,charm,B/accessories/11,glb/charm-green-clover.glb,231712
charm-pink-tag,charm,pink,tag,charm,B/accessories/12,glb/charm-pink-tag.glb,41716
laptop-gray-plain,laptop,gray,plain,prop,B/study-objects/01,glb/laptop-gray-plain.glb,281344
tablet-black-plain,tablet,black,plain,prop,B/study-objects/02,glb/tablet-black-plain.glb,14336
planner-tan-plan,planner,tan,plan,prop,B/study-objects/03,glb/planner-tan-plan.glb,413016
pen-black-fine,pen,black,fine,prop,B/study-objects/04,glb/pen-black-fine.glb,17288
pen-blue-fine,pen,blue,fine,prop,B/study-objects/05,glb/pen-blue-fine.glb,18392
pen-pink-fine,pen,pink,fine,prop,B/study-objects/06,glb/pen-pink-fine.glb,18388
pen-green-fine,pen,green,fine,prop,B/study-objects/07,glb/pen-green-fine.glb,18396
pen-red-fine,pen,red,fine,prop,B/study-objects/08,glb/pen-red-fine.glb,18388
postits-yellow-pastel,postits,yellow,pastel,prop,B/study-objects/09,glb/postits-yellow-pastel.glb,28052
lamp-black-plain,lamp,black,plain,prop,B/desk-objects/01,glb/lamp-black-plain.glb,49160
mug-ivory-good-ideas,mug,ivory,good-ideas,prop,B/desk-objects/03,glb/mug-ivory-good-ideas.glb,637008
penholder-gray-color,penholder,gray,color,prop,B/desk-objects/04,glb/penholder-gray-color.glb,22564
clock-black-digital,clock,black,digital,prop,B/desk-objects/05,glb/clock-black-digital.glb,248192
books-tan-stack,books,tan,stack,prop,B/desk-objects/06,glb/books-tan-stack.glb,136928
camera-black-plain,camera,black,plain,prop,B/hobby-objects/01,glb/camera-black-plain.glb,51740
gamepad-black-plain,gamepad,black,plain,prop,B/hobby-objects/02,glb/gamepad-black-plain.glb,85552
console-blue-red,console,blue,red,prop,B/hobby-objects/03,glb/console-blue-red.glb,100900
soccer-white-panel,soccer,white,panel,prop,B/hobby-objects/04,glb/soccer-white-panel.glb,66680
basketball-orange-panel,basketball,orange,panel,prop,B/hobby-objects/05,glb/basketball-orange-panel.glb,130576
keyboard-black-music,keyboard,black,music,prop,B/hobby-objects/06,glb/keyboard-black-music.glb,172624
sketchbook-ivory-sketch,sketchbook,ivory,sketch,prop,B/hobby-objects/07,glb/sketchbook-ivory-sketch.glb,739836
skateboard-black-plain,skateboard,black,plain,prop,B/hobby-objects/08,glb/skateboard-black-plain.glb,78240
guitar-tan-acoustic,guitar,tan,acoustic,prop,B/hobby-objects/09;B/reward-objects/06,glb/guitar-tan-acoustic.glb,200924
medal-gold-ribbon,medal,gold,ribbon,prop,B/reward-objects/02,glb/medal-gold-ribbon.glb,196848
trophy-gold-star,trophy,gold,star,prop,B/reward-objects/03,glb/trophy-gold-star.glb,185056
frame-brown-well-done,frame,brown,well-done,prop,B/reward-objects/04,glb/frame-brown-well-done.glb,515784
books-purple-plant,books,purple,plant,prop,B/reward-objects/05,glb/books-purple-plant.glb,274176
hoodie-ivory-smile,hoodie,ivory,smile,top,A/central-figure/01,glb/hoodie-ivory-smile.glb,797144
varsity-navy-c,varsity,navy,c,outerwear,B/central-figure/01,glb/varsity-navy-c.glb,874000
beanie-black-gold-label,beanie,black,gold-label,headwear,B/central-figure/02,glb/beanie-black-gold-label.glb,872984
headphones-black-ivory-pads,headphones,black,ivory-pads,neck,B/central-figure/03,glb/headphones-black-ivory-pads.glb,36404
crossbody-black-stickers,crossbody,black,stickers,crossbody,B/central-figure/04,glb/crossbody-black-stickers.glb,761972
